"date","d_killed","drivers","front","rear"
1969-01-01,107,1687,867,269
1969-02-01,97,1508,825,265
1969-03-01,102,1507,806,319
1969-04-01,87,1385,814,407
1969-05-01,119,1632,991,454
1969-06-01,106,1511,945,427
1969-07-01,110,1559,1004,522
1969-08-01,106,1630,1091,536
1969-09-01,107,1579,958,405
1969-10-01,134,1653,850,437
1969-11-01,147,2152,1109,434
1969-12-01,180,2148,1113,437
1970-01-01,125,1752,925,316
1970-02-01,134,1765,903,311
1970-03-01,110,1717,1006,351
1970-04-01,102,1558,892,362
1970-05-01,103,1575,990,486
1970-06-01,111,1520,866,429
1970-07-01,120,1805,1095,551
1970-08-01,129,1800,1204,646
1970-09-01,122,1719,1029,456
1970-10-01,183,2008,1147,475
1970-11-01,169,2242,1171,456
1970-12-01,190,2478,1299,468
1971-01-01,134,2030,944,356
1971-02-01,108,1655,874,271
1971-03-01,104,1693,840,354
1971-04-01,117,1623,893,427
1971-05-01,157,1805,1007,465
1971-06-01,148,1746,973,440
1971-07-01,130,1795,1097,539
1971-08-01,140,1926,1194,646
1971-09-01,136,1619,988,457
1971-10-01,140,1992,1077,446
1971-11-01,187,2233,1045,402
1971-12-01,150,2192,1115,441
1972-01-01,159,2080,1005,359
1972-02-01,143,1768,857,334
1972-03-01,114,1835,879,312
1972-04-01,127,1569,887,427
1972-05-01,159,1976,1075,434
1972-06-01,156,1853,1121,486
1972-07-01,138,1965,1190,569
1972-08-01,120,1689,1058,523
1972-09-01,117,1778,939,418
1972-10-01,170,1976,1074,452
1972-11-01,168,2397,1089,462
1972-12-01,198,2654,1208,497
1973-01-01,144,2097,903,354
1973-02-01,146,1963,916,347
1973-03-01,109,1677,787,276
1973-04-01,131,1941,1114,472
1973-05-01,151,2003,1014,487
1973-06-01,140,1813,1022,505
1973-07-01,153,2012,1114,619
1973-08-01,140,1912,1132,640
1973-09-01,161,2084,1111,559
1973-10-01,168,2080,1008,453
1973-11-01,152,2118,916,418
1973-12-01,136,2150,992,419
1974-01-01,113,1608,731,262
1974-02-01,100,1503,665,299
1974-03-01,103,1548,724,303
1974-04-01,103,1382,744,401
1974-05-01,121,1731,910,413
1974-06-01,134,1798,883,426
1974-07-01,133,1779,900,516
