"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","Category","id"
"13th Warrior, The",1999,102,8.5e+07,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",1
"2 Fast 2 Furious",2003,107,7.6e+07,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",2
"20,000 Leagues Under the Sea",1916,105,2e+05,6.2,135,4.5,4.5,4.5,4.5,24.5,14.5,24.5,4.5,4.5,14.5,"",1,0,0,0,0,0,0,"Action",3
"3000 Miles to Graceland",2001,125,6.2e+07,5.4,7298,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",4
"5 Dark Souls",1996,94,1500,7.3,11,14.5,0,0,4.5,0,0,4.5,4.5,4.5,44.5,"",1,0,0,0,0,0,0,"Action",5
"51st State, The",2001,92,2.8e+07,6.1,6752,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",6
"6th Day, The",2000,123,8.2e+07,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",7
"72 metra",2004,100,1600000,6,147,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",1,0,0,1,0,0,0,"Action",8
"7th Voyage of Sinbad, The",1958,88,650000,6.9,1224,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",1,0,0,0,0,0,0,"Action",9
"AVP: Alien Vs. Predator",2004,102,4.5e+07,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,"Action",10
"Absolon",2003,96,8e+06,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",11
"Abyss, The",1989,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0,"Action",12
"Accountant, The",1999,50,5000,6.3,19,4.5,0,4.5,4.5,4.5,0,24.5,4.5,24.5,34.5,"",1,0,0,0,0,0,0,"Action",13
"Acts of Betrayal",1997,90,3e+06,4.6,94,4.5,14.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0,"Action",14
"Adventures of Dollie, The",1908,12,0,5.1,34,4.5,4.5,4.5,4.5,24.5,14.5,4.5,24.5,4.5,14.5,"",1,0,0,0,0,0,1,"Action",15
"Adventures of Pluto Nash, The",2002,95,1e+08,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",16
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",1,0,0,0,0,1,0,"Action",17
"After the Sunset",2004,97,5.8e+07,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0,"Action",18
"Agent Cody Banks",2003,102,2.6e+07,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0,"Action",19
"Agent Cody Banks 2: Destination London",2004,100,2.6e+07,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0,"Action",20
"Agent on Ice",1985,96,2500000,4.4,15,14.5,0,4.5,4.5,14.5,14.5,4.5,14.5,14.5,14.5,"",1,0,0,0,0,0,0,"Action",21
"Air Force One",1997,124,8.5e+07,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0,"Action",22
"Air Marshal",2003,90,5e+05,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0,"Action",23
"Airport 1975",1974,107,3e+06,4.9,1385,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",24
"Alamo, The",1960,192,1.2e+07,6.6,2083,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",1,0,0,1,0,0,0,"Action",25
"Alamo, The",2004,137,9.5e+07,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0,"Action",26
"Alien: Resurrection",1997,116,7e+07,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,"Action",27
"Aliens",1986,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",1,0,0,0,0,0,0,"Action",28
"Alive",1993,127,3.2e+07,6.7,5786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",1,0,0,1,0,0,0,"Action",29
"All About the Benjamins",2002,95,1.4e+07,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0,"Action",30
