"IncidntNum","Category","Descript","DayOfWeek","Date","Time","PdDistrict","Resolution","Address","X","Y","Location","PdId","gen_cat","datetime","hour"
146229405,"Larceny/theft","Petty theft of property","Friday","10/31/2014","23:45:00","Northern","None","1200 Block of POLK ST",-122.420326993863,37.7884521578132,"(37.7884521578132, -122.420326993863)",7.22469254537881e-311,"Theft","2014-10-31 23:45:00",23
146237345,"Larceny/theft","Petty theft of property","Friday","10/31/2014","23:40:00","Mission","None","3100 Block of 16TH ST",-122.423637302048,37.7648666651043,"(37.7648666651043, -122.423637302048)",7.2250848335016e-311,"Theft","2014-10-31 23:40:00",23
146230684,"Larceny/theft","Grand theft from unlocked auto","Friday","10/31/2014","23:30:00","Ingleside","None","0 Block of AGNON AV",-122.422435984632,37.7347566471278,"(37.7347566471278, -122.422435984632)",7.22475573630179e-311,"Theft","2014-10-31 23:30:00",23
140943233,"Robbery","Robbery, bodily force","Friday","10/31/2014","23:30:00","Central","None","PINE ST / GRANT AV",-122.405744762009,37.7914980828425,"(37.7914980828425, -122.405744762009)",6.96352094542859e-311,"Theft","2014-10-31 23:30:00",23
146233531,"Larceny/theft","Grand theft of property","Friday","10/31/2014","23:28:00","Southern","None","HARRISON ST / 3RD ST",-122.397388784826,37.7825543452426,"(37.7825543452426, -122.397388784826)",7.22489639686527e-311,"Theft","2014-10-31 23:28:00",23
140924346,"Robbery","Robbery on the street with a gun","Friday","10/31/2014","23:15:00","Ingleside","None","100 Block of 29TH ST",-122.423548877173,37.74394400245,"(37.74394400245, -122.423548877173)",6.96258780361216e-311,"Theft","2014-10-31 23:15:00",23
140924380,"Larceny/theft","Petty theft from locked auto","Friday","10/31/2014","23:15:00","Ingleside","None","3300 Block of MISSION ST",-122.422141862352,37.7422279842217,"(37.7422279842217, -122.422141862352)",6.96258948503218e-311,"Theft","2014-10-31 23:15:00",23
146227835,"Larceny/theft","Grand theft from locked auto","Friday","10/31/2014","23:05:00","Bayview","None","23RD ST / TENNESSEE ST",-122.389002481424,37.7553298817586,"(37.7553298817586, -122.389002481424)",7.22461497700917e-311,"Theft","2014-10-31 23:05:00",23
146228043,"Larceny/theft","Grand theft from locked auto","Friday","10/31/2014","23:00:00","Southern","None","9TH ST / RINGOLD ST",-122.411075138748,37.7733316677301,"(37.7733316677301, -122.411075138748)",7.2246252535746e-311,"Theft","2014-10-31 23:00:00",23
140925601,"Larceny/theft","Lost property, petty theft","Friday","10/31/2014","23:00:00","Northern","None","POST ST / VANNESS AV",-122.421572274151,37.7866181600998,"(37.7866181600998, -122.421572274151)",6.96264982074732e-311,"Theft","2014-10-31 23:00:00",23
140934975,"Larceny/theft","Grand theft from person","Friday","10/31/2014","23:00:00","Mission","None","3400 Block of 19TH ST",-122.421047623733,37.7601791935819,"(37.7601791935819, -122.421047623733)",6.96311294753899e-311,"Theft","2014-10-31 23:00:00",23
140925504,"Vehicle theft","Stolen automobile","Friday","10/31/2014","23:00:00","Southern","None","DEHARO ST / BERRY ST",-122.401966042337,37.7687048635258,"(37.7687048635258, -122.401966042337)",6.96264501839515e-311,"Theft","2014-10-31 23:00:00",23
