"Date","Theft","Vandalism","Kidnapping","Controlled","Assault","Other"
"01/01/2014",146,52,26,34,72,158
"01/02/2014",141,36,19,27,26,138
"01/03/2014",134,36,23,47,25,162
"01/04/2014",121,43,30,27,38,109
"01/05/2014",122,37,9,24,31,97
"01/06/2014",157,34,18,20,38,126
"01/07/2014",145,37,7,16,38,133
"01/08/2014",164,44,9,38,42,133
"01/09/2014",144,35,10,29,37,137
"01/10/2014",167,41,13,36,31,177
"01/11/2014",151,34,14,24,35,137
"01/12/2014",129,42,13,36,29,120
"01/13/2014",158,32,8,20,51,130
"01/14/2014",192,41,9,36,23,156
"01/15/2014",179,52,10,23,36,152
"01/16/2014",190,47,15,22,49,173
"01/17/2014",180,34,27,27,25,133
"01/18/2014",175,39,14,21,45,160
"01/19/2014",156,33,12,19,54,116
"01/20/2014",157,42,6,26,33,127
"01/21/2014",137,48,6,24,27,138
"01/22/2014",172,34,15,25,40,134
"01/23/2014",162,44,17,21,35,147
"01/24/2014",157,45,19,27,45,180
"01/25/2014",174,43,17,30,47,154
"01/26/2014",158,43,5,17,41,141
"01/27/2014",184,36,15,35,26,136
"01/28/2014",143,37,11,34,32,128
"01/29/2014",150,44,17,12,29,123
"01/30/2014",164,27,24,25,29,107
"01/31/2014",155,42,23,8,26,111
"02/01/2014",153,45,29,24,57,185
"02/02/2014",105,33,10,21,48,144
"02/03/2014",147,39,20,39,25,123
"02/04/2014",160,32,13,32,32,128
"02/05/2014",172,41,17,40,25,144
"02/06/2014",153,36,17,37,24,126
"02/07/2014",148,53,18,17,35,136
"02/08/2014",143,31,16,17,32,146
"02/09/2014",120,34,18,31,37,125
"02/10/2014",156,43,26,39,22,165
"02/11/2014",132,35,15,28,30,133
"02/12/2014",152,55,19,46,32,168
"02/13/2014",148,29,17,26,31,166
"02/14/2014",188,58,22,38,52,156
"02/15/2014",201,38,15,35,48,140
"02/16/2014",126,39,11,35,44,131
"02/17/2014",145,41,18,36,27,148
"02/18/2014",145,52,18,19,42,161
"02/19/2014",155,43,7,25,31,144
"02/20/2014",131,42,11,29,40,133
"02/21/2014",156,46,21,38,36,161
"02/22/2014",161,47,15,27,36,126
"02/23/2014",143,40,13,19,30,122
"02/24/2014",130,32,29,24,36,122
"02/25/2014",153,34,21,28,26,127
"02/26/2014",143,37,12,25,31,134
"02/27/2014",170,38,6,22,53,133
"02/28/2014",149,38,16,15,42,137
"03/01/2014",162,37,17,17,47,164
"03/02/2014",140,47,11,25,35,127
"03/03/2014",132,36,10,34,40,131
"03/04/2014",131,56,16,35,36,143
"03/05/2014",150,36,18,28,35,151
"03/06/2014",143,34,16,37,47,190
"03/07/2014",169,41,24,29,34,161
"03/08/2014",162,42,10,20,44,143
"03/09/2014",148,33,7,31,36,123
"03/10/2014",143,43,16,27,34,138
"03/11/2014",145,37,15,33,29,143
"03/12/2014",152,50,21,24,39,133
"03/13/2014",134,42,10,26,34,137
"03/14/2014",169,48,20,31,45,174
"03/15/2014",166,36,17,26,36,160
"03/16/2014",133,37,15,18,22,130
"03/17/2014",142,42,15,30,28,149
"03/18/2014",113,36,28,26,31,152
"03/19/2014",187,55,21,41,40,169
"03/20/2014",169,38,16,18,22,130
"03/21/2014",171,43,17,28,37,127
"03/22/2014",162,31,11,19,40,160
"03/23/2014",120,42,11,45,39,145
"03/24/2014",167,48,7,20,45,150
"03/25/2014",181,33,10,24,46,116
"03/26/2014",149,42,15,16,32,112
"03/27/2014",202,46,11,38,52,145
"03/28/2014",190,47,24,22,57,158
"03/29/2014",187,44,14,14,31,112
"03/30/2014",131,27,7,12,45,116
"03/31/2014",141,43,7,31,20,110
"04/01/2014",147,41,14,33,25,163
"04/02/2014",127,38,12,25,28,160
"04/03/2014",149,45,17,38,32,162
"04/04/2014",151,45,11,20,33,149
"04/05/2014",175,39,12,30,38,132
"04/06/2014",144,41,12,25,47,140
"04/07/2014",135,47,23,26,40,151
"04/08/2014",138,35,10,27,36,156
"04/09/2014",148,48,12,24,29,130
"04/10/2014",184,46,18,21,33,151
"04/11/2014",179,44,10,24,35,155
"04/12/2014",198,40,23,29,42,149
"04/13/2014",162,35,11,21,29,95
"04/14/2014",127,21,13,27,44,135
"04/15/2014",148,36,6,16,27,130
"04/16/2014",178,49,24,27,32,160
"04/17/2014",185,27,15,23,35,117
"04/18/2014",173,36,14,20,38,163
"04/19/2014",172,23,14,52,45,155
"04/20/2014",156,33,19,26,32,99
"04/21/2014",156,41,17,14,40,98
"04/22/2014",174,36,9,21,36,116
"04/23/2014",157,35,20,17,34,131
"04/24/2014",192,42,23,17,35,139
