"Date","Southern","Mission","Northern","Central","Bayview","Ingleside","Tenderloin","Taraval","Park","Richmond"
"01/01/2014",63,62,62,73,64,27,39,47,17,34
"01/02/2014",74,63,47,37,41,46,15,21,24,19
"01/03/2014",86,68,55,46,24,31,30,25,39,23
"01/04/2014",59,55,52,42,29,32,30,28,21,20
"01/05/2014",52,42,41,42,36,27,22,27,17,14
"01/06/2014",72,47,53,42,33,41,38,28,23,16
"01/07/2014",55,48,46,37,37,44,35,32,24,18
"01/08/2014",96,73,38,38,49,38,20,21,39,18
"01/09/2014",67,55,58,27,39,29,31,28,28,30
"01/10/2014",89,66,38,41,56,36,45,32,38,24
"01/11/2014",112,54,33,43,35,44,20,20,21,13
"01/12/2014",55,66,51,27,44,14,45,15,35,17
"01/13/2014",67,57,45,43,34,44,37,31,24,17
"01/14/2014",83,53,50,43,39,37,52,39,30,31
"01/15/2014",77,59,59,46,42,40,42,34,28,25
"01/16/2014",89,72,60,50,52,37,38,36,35,27
"01/17/2014",72,56,50,42,40,34,37,56,21,18
"01/18/2014",95,74,55,47,49,28,27,25,31,23
"01/19/2014",74,64,47,47,41,26,23,15,27,26
"01/20/2014",83,52,42,50,42,23,37,25,18,19
"01/21/2014",91,48,57,32,41,17,34,15,30,15
"01/22/2014",69,60,46,50,42,40,30,38,24,21
"01/23/2014",83,62,54,40,21,45,32,35,27,27
"01/24/2014",76,79,60,37,46,60,21,27,29,38
"01/25/2014",91,51,37,69,58,34,41,27,27,30
"01/26/2014",62,81,43,51,43,27,32,21,29,16
"01/27/2014",76,64,54,44,48,29,48,31,31,7
"01/28/2014",76,45,34,47,39,32,47,25,21,19
"01/29/2014",75,53,49,34,33,35,24,28,26,18
"01/30/2014",51,50,57,51,37,37,28,21,18,26
"01/31/2014",68,46,56,47,35,25,19,31,21,17
"02/01/2014",100,53,60,55,66,45,35,35,23,21
"02/02/2014",53,39,41,42,40,36,28,32,28,22
"02/03/2014",75,61,46,24,39,28,45,34,20,21
"02/04/2014",70,50,45,48,46,34,31,33,19,21
"02/05/2014",87,40,46,54,62,24,37,34,31,24
"02/06/2014",77,56,48,47,36,35,39,28,14,13
"02/07/2014",64,69,48,53,36,41,22,19,18,37
"02/08/2014",75,45,33,57,35,43,37,23,13,24
"02/09/2014",74,54,36,29,36,45,27,33,11,20
"02/10/2014",85,61,49,33,52,54,40,28,28,21
"02/11/2014",65,46,48,42,43,25,25,22,28,29
"02/12/2014",68,63,68,44,38,37,51,38,32,33
"02/13/2014",103,40,48,33,37,34,31,29,34,28
"02/14/2014",88,74,54,62,38,45,48,41,30,34
"02/15/2014",101,58,76,51,39,43,36,26,27,20
"02/16/2014",70,54,49,50,40,35,30,14,16,28
"02/17/2014",102,47,51,37,34,34,32,29,28,21
"02/18/2014",80,56,44,46,45,43,28,42,26,27
"02/19/2014",77,55,35,34,57,22,43,23,41,18
"02/20/2014",76,52,45,44,45,22,32,28,20,22
"02/21/2014",76,54,53,52,45,51,39,30,36,22
"02/22/2014",84,33,49,62,22,39,43,41,25,14
"02/23/2014",77,48,48,54,27,29,25,16,21,22
"02/24/2014",65,40,40,33,23,39,42,39,27,25
"02/25/2014",81,62,50,42,28,36,31,26,18,15
"02/26/2014",74,53,52,51,38,31,23,21,18,21
"02/27/2014",48,61,42,49,57,41,36,26,32,30
"02/28/2014",74,47,66,41,43,31,29,20,29,17
"03/01/2014",64,74,50,55,47,42,33,36,20,23
"03/02/2014",66,42,51,36,39,36,36,22,25,32
"03/03/2014",88,52,45,31,30,45,27,23,20,22
"03/04/2014",86,50,42,45,51,44,38,24,22,15
"03/05/2014",71,55,66,29,25,41,49,37,31,14
"03/06/2014",94,68,44,56,40,41,40,19,35,30
"03/07/2014",75,60,58,57,52,41,30,30,30,25
"03/08/2014",68,59,51,59,34,39,21,29,39,22
"03/09/2014",64,62,31,63,29,36,18,29,33,13
"03/10/2014",72,39,70,43,34,27,44,22,33,17
"03/11/2014",83,45,35,50,16,41,57,35,17,23
"03/12/2014",67,61,26,55,34,44,57,25,31,19
"03/13/2014",67,43,40,38,39,43,37,33,27,16
"03/14/2014",96,59,47,68,43,38,37,32,44,23
